Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
7860876103,Joe Biden,BIDEN FOR PRESIDENT,4777235,3266
202626512363,U.S. Census Bureau,U.S. Census Bureau,4433510,1179
124955570892789,Bernie Sanders,BERNIE 2020,2408991,5152
6756153498,Mike Bloomberg,Mike Bloomberg 2020 Inc,1813830,19710
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,1503820,24328
156968474833352,Stop Republicans,Stop Republicans,1042128,258
108824017345866,Facebook,"Facebook, Inc.",659457,4
33110852384,Doctors Without Borders/ Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),634509,1651
11131463701,truth,TRUTH INITIATIVE FOUNDATION,610966,216
73970658023,International Rescue Committee,International Rescue Committee,593668,346
20787991568,Senate Democrats,DSCC,473371,1387
425408274980132,Let's Be Honest,Priorities USA,469484,1022
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,458807,609
101183127996396,Four Is Enough,PACRONYM,434840,397
106927400764857,Team Mike 2020,Mike Bloomberg 2020 Inc,425445,119
111182343682003,Certified CCW,CertifiedCCW.com,418744,148
104684067632334,Unite the Country,UNITE THE COUNTRY,403974,178
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,402519,4938
196382377057315,Learn Our History,Learn Our History,372179,193
107858693983382,The GOP Shop,The GOP Shop,369716,267
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",369133,23383
156994304362574,American Bridge,AMERICAN BRIDGE 21ST CENTURY,359096,997
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,344960,2733
80562389320,NARAL Pro-Choice America,NARAL Pro-Choice America,327348,669
157546398049625,Marsy's Law for Wisconsin,"Marsy’s Law for Wisconsin, LLC",326832,37
6985452607,Brita USA,The Clorox Company,316484,14
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,315957,173
92925746942,Judicial Watch,Judicial Watch,307771,793
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,304480,80
6500552187,Hulu,"HULU, LLC",284007,39
174009339411865,SmartNews,"SmartNews International, Inc.",277493,56729
38471053686,Elizabeth Warren,"WARREN FOR PRESIDENT, INC.",275893,634
571182609571332,NextGen America,NEXTGEN CLIMATE ACTION COMMITTEE,275811,679
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,262595,281
1884107931849913,Republicans for the Rule of Law,Defending Democracy Together,259657,220
109784800371914,Protect Kids: Fight Flavored E-Cigarettes,TOBACCO-FREE KIDS ACTION FUND,257200,793
158791100909689,Concerned Veterans for America,Concerned Veterans for America,255362,150
7483836629,Ancestry,Ancestry.com Operations Inc.,253792,39
101181794707874,United Research Group,United Research Group,249658,4037
7976226799,The Daily Show,Comedy Central,243052,227
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,240074,1610
116534199732974,USA Carry Online,USA Carry Online,237280,298
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,234942,625
35169196082,Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",227625,244
332716170522025,America First Action,America First Action,222482,61
110749446963570,Courier,Courier Newsroom,218698,201
106158314342739,Facts First,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,210809,310
127225910653607,PragerU,PragerU,205202,593
5435784683,Greenpeace USA,"GREENPEACE, INC.",204931,1536
1883837055193241,Shield Republic,Shield Republic,201969,3769
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",199953,825
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,198851,905
202626512363,U.S. Census Bureau,These ads ran without a disclaimer,195245,165
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,191873,22
602714436529710,End Citizens United,END CITIZENS UNITED,190424,143
260754507296508,The Voter Participation Center,Voter Participation Center,186854,4285
108478014052676,Center Action Now,Center Action Now,185180,77
132066233534659,Healthcare Education Project,Healthcare Education Project,183451,52
1316372698453411,Alexandria Ocasio-Cortez,ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS,183000,1070
111393882812494,Amy McGrath,"AMY MCGRATH FOR SENATE, INC.",176750,472
179204028758675,California Secretary of State,California Secretary of State,171022,68
25852730092,Care2,Care2 Inc,170503,489
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,169865,100
206623622690681,NYC Department of Health and Mental Hygiene,New York City Department of Health and Mental Hygiene,168664,17
6726182861,Mike Pence,"DONALD J. TRUMP FOR PRESIDENT, INC.",168158,2603
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",167392,35
1487587521541634,President Donald Trump Fan Club,I Love My Freedom,167193,475
101210588150219,Boy Scouts Abuse Claims,X Social Media LLC,163941,434
112041183486666,Project Sunshine,ACRONYM,161867,191
106667474170866,A Better Wisconsin Together,"A Better Wisconsin Together, Inc.",161655,219
77852784853,Absolut,Pernod Ricard USA,150000,10
85452072376,Newsmax,Newsmax Media,149966,56
261663760956534,America First Policies,America First Policies Inc,149919,12
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,147115,152
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,145809,381
109097990639753,Unite for Colorado,Unite for Colorado,140092,103
228754857151053,House Majority PAC,House Majority PAC,139971,118
109021767293838,Making Retirement Last,Making Retirement Last,139644,68
1025055787535714,A Case for Women,A Case for Women,137182,78
2352630938293825,Mytacticalpromos,Entremax,137101,33
9324910069,NRSC,NRSC,136306,416
159964696102,Kevin McCarthy,KEVIN MCCARTHY FOR CONGRESS,135798,57
105732744375701,Steve Bullock,Montanans for Bullock,134410,247
18982436812,ACLU,American Civil Liberties Union,133748,444
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,132361,5832
6204742571,Sierra Club,SIERRA CLUB,130829,421
104902061111847,A Better Wisconsin Together Political Fund,A Better Wisconsin Together Political Fund,130632,162
950998258312654,Knowhere,"Knowhere, Inc.",130568,428
1194865807192273,Conservative Gear,Outergoods LLC,126668,850
120551431317,Nickelodeon,Nickelodeon with Facebook Ad Credits,125000,10
1711465445765878,Nancy Pelosi,NANCY PELOSI FOR CONGRESS,120671,154
112739086975178,Big Tent Project,Big Tent Project Fund,118060,1623
30139072158,CARE,CARE,115884,319
139599847972,National Nurses United,National Nurses United,115141,263
203805062990264,Ben Shapiro,The Daily Wire,113688,215
106787890912320,Persist 2020,PERSIST PAC,107145,51
106700630683805,Bill Conway,Friends of Bill Conway,105142,52
81517275796,UNICEF USA,UNITED STATES FUND FOR UNICEF,103981,380
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,103225,71
680549575421741,UnitedVoice.com,"Beachside Media, Inc.",101820,68
56680318666,Illinois Policy,Illinois Policy,101194,106
11791104453,NRDC,Natural Resources Defense Council,100681,480
277005566267077,Blueland,Blueland,100459,15
658739734196897,CVS Health,CVS HEALTH CORPORATION,98947,221
309308412520731,Sandy Hook Promise,Sandy Hook Promise,98142,603
555787351119974,Coalition to Protect America's Health Care,Coalition to Protect America's Health Care,97097,27
1435148843426547,SEIU Florida,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),96344,50
281844617168,Jewish Voice Ministries International,JEWISH VOICE MINISTRIES INTERNATIONAL,95994,486
140499052681592,Bank of the West,BANK OF THE WEST,95955,14
167586229923327,World Food Program USA,World Food Program USA,94875,347
294196590710262,FWD.us,FWD.us,94684,193
779918582197020,Leadership MKE,Leadership MKE,94552,249
1676291615740480,Rental Affordability Act,Homeowners and Tenants United,94330,321
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,94262,454
681626158940626,Mission Roll Call,Americas Warrior Partnership,93581,82
2602473023098666,Democratic Polling Center,Democratic Governors Association,93494,50
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,93453,863
102711087850827,Hablemos Claro USA,Priorities USA,93248,239
345504286342057,Keeping America Great Again,RightWingGear.com,92977,24
560140464159364,Stand for the 2nd Amendment,SFT2 Tactical Supply,92795,73
551328948361758,For Our Future WI,For Our Future Action Fund,91959,276
101617224555221,Nancy Pelosi Elects Democrats,PAC TO THE FUTURE,91787,196
106241024214152,American Home Life Periodical,Steven Luu Nguyen,91740,321
605168822998856,314 Action,314 ACTION FUND,91382,137
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,90688,159
717115395103069,PrintedKicks,Printed Kicks,90085,155
126575267904438,Love Beauty and Planet,Unilever,88783,12
21492729544,Catholic Relief Services,CATHOLIC RELIEF SERVICES - UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,88709,160
119746614730099,Reliant Energy ®,"Reliant Energy Retail Services, LLC",88466,124
1374134752633656,New Health Plans,Shop Insurance Plans,88166,48
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,85259,533
627288151114676,Organization Abuse,X Social Media LLC,84962,43
203197030603239,8 Billion Trees,8 Billion Trees LLC,84708,75
101908424664094,Best Home Savers 2020,J D Grace Gorospe,83878,453
67945990059,The American Petroleum Institute,AMERICAN PETROLEUM INSTITUTE,82118,1774
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,81877,795
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,81725,141
209516845093,NRDC Action Fund,NRDC Action Fund,80716,470
142992759853421,Be A Hero,BE A HERO PAC,80317,2080
15041226930,Oxfam,"OXFAM AMERICA, INC.",78957,363
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC.",77605,431
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,76873,686
55549065733,Voto Latino,VOTO LATINO INC.,76196,1494
285907905427022,Bet on NY,FanDuel and Draft Kings,76181,17
132492254050920,American AF,AAF Nation,75153,179
253791814655400,Doug Collins,"COLLINS FOR SENATE, INC.",74845,300
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,74827,20
17911165812,Covenant House International,Covenant House,73869,783
459890014763287,Rocky Mountain Values,Rocky Mountain Values,73614,160
314499212242,Pfizer,Pfizer Inc.,73310,190
2267405033373814,Doctor Patient Unity,Doctor Patient Unity,72860,163
2283535575207809,Ditch Mitch,DITCH FUND,72770,45
530604487365010,Old Glory Flagpole Kits,Service First Flag Poles,72674,73
100926438191751,United We Succeed,United We Succeed,71763,98
383677738397139,Association for Accessible Medicines,Association for Accessible Medicines,71756,454
105756057589080,The Lincoln Project,The Lincoln Project,71174,6
6713653788,Gary Peters,PETERS FOR MICHIGAN,71072,135
1596671280578981,Schools & Communities First,Schools and Communities First,70596,36
108926330594488,Colorado's Health Care Future,"Partnership for America’s Health Care Future Action, Inc.",69552,492
104325844436320,US Dollar Reports,US Dollar Reports,69492,39
2353537341582545,Proud Patriots,"Unicorn Wealth, LLC",68409,330
1419480864851393,Arizona Mirror,Arizona Mirror,67751,140
345378512258813,Elise Stefanik,ELISE FOR CONGRESS,67615,24
